0 131072 131072 131072
1 524288 2.09715e+06 8.38861e+06
2 1.17965e+06 1.06168e+07 9.55515e+07
3 2.09715e+06 3.35544e+07 5.36871e+08
4 3.2768e+06 8.192e+07 2.048e+09
5 4.71859e+06 1.69869e+08 6.1153e+09
6 6.42253e+06 3.14704e+08 1.54205e+10
7 8.38861e+06 5.36871e+08 3.43597e+10
8 1.06168e+07 8.59963e+08 6.9657e+10
9 1.31072e+07 1.31072e+09 1.31072e+11
10 1.58597e+07 1.91903e+09 2.32202e+11
11 1.88744e+07 2.71791e+09 3.91379e+11
12 2.21512e+07 3.74355e+09 6.3266e+11
13 2.56901e+07 5.03526e+09 9.86911e+11
14 2.94912e+07 6.63552e+09 1.49299e+12
