524288 1179648 2097152 3276800
1179648 4718592 13107200 29491200
2097152 13107200 52428800 160563200
3276800 29491200 160563200 642252800
4718592 57802752 411041792 2080899072
6422528 102760448 924844032 5780275200
8388608 169869312 1887436800 14273740800
10616832 265420800 3568435200 32115916800
13107200 396492800 6343884800 67007283200
15859712 570949632 10721165312 131334275072
18874368 797442048 17366515712 244216627200
22151168 1085407232 27135180800 434162892800
25690112 1444937728 41104048128 742444105728
29491200 1887436800 60607692800 1227305779200
