1 192 1 0.006406 0.000678 0.000474 2 0.014761 0.002152 0.000608 3 0.027113 0.006680 0.000712 4 0.039361 0.006189 0.000801 28669 61434 106486 163825
2 192 1 0.013154 0.001323 0.000625 2 0.050889 0.006951 0.000972 3 0.140724 0.029630 0.001542 4 0.302485 0.043581 0.002112 57339 208881 552925 1208250
3 192 1 0.022013 0.002174 0.000761 2 0.131383 0.017839 0.001484 3 0.505263 0.094323 0.002668 4 1.461170 0.205947 0.005340 94201 524260 1982380 5877550
4 192 1 0.033207 0.003409 0.000879 2 0.272377 0.034541 0.002172 3 1.454270 0.246833 0.004874 4 5.589000 0.760829 0.013948 139255 1105875 5693275 22097425
5 192 1 0.045744 0.004758 0.001047 2 0.517191 0.064777 0.002764 3 3.689140 0.564318 0.009000 4 17.730100 2.335390 0.036436 192501 2076606 14016226 69127191
6 192 1 0.060404 0.006283 0.001255 2 0.887280 0.108796 0.003589 3 7.807450 1.174650 0.018540 4 48.191300 6.240740 0.091323 253939 3583909 30764601 188086500 
7 192 1 0.077607 0.008029 0.001342 2 1.443530 0.172543 0.004795 3 15.742300 2.245970 0.027876 4 117.869000 15.021400 0.204029  323569 5799816 61767000 458585100
8 192 1 0.000000 0.010183 0.001413 2 0.000000 0.261367 0.006142 3 0.000000 4.062870 0.047204 4 0.000000 32.812600 0.435274  401391 8920935 115481655 1023462675 
9 192 1 0.000000 0.012187 0.001562 2 0.000000 0.382136 0.008128 3 0.000000 6.957940 0.077736 4 0.000000 67.233100 0.889243  487405 13168450 203692750 2123932525
10 192 1 0.000000 0.014498 0.001767 2 0.000000 0.544149 0.011097 3 0.000000 11.419200 0.124554 4 0.000000 130.491000 1.898960  581611 18788121 342288661 4147709566
11 192 1 0.000000 0.017053 0.001959 2 0.000000 0.751477 0.013152 3 0.000000 18.002900 0.192448 4 0.000000 238.400000 3.675240   684009 26050284 552122116 7692989850
12 192 1 0.000000 0.019776 0.002300 2 0.000000 1.010040 0.016682 3 0.000000 27.600000 0.291378 4 0.000000 418.865000 7.140340  794599 35249851 859952275 13651435525
13 192 1 0.000000 0.002109 0.002116 2 0.000000 0.110630 0.020392 3 0.000000 3.400510 0.431266 4 0.000000 58.354900 13.172200   913381 46698119 1299460539 23313597684
14 192 1 0.000000 0.002205 0.002210 2 0.000000 0.142498 0.025228 3 0.000000 4.921900 0.625919 0 0.000000 0.000000 0.000000    1040355 60763725 1912397425 38500561800               
