1 128 1 0.002311 0.004615 0.000369 2 0.007212 0.006003 0.000512 3 0.025161 0.001808 0.000883   28669 102391 372709
2 128 1 0.003610 0.006052 0.000420 2 0.013713 0.002601 0.000962 3 0.207617 0.005967 0.002526  57339 434151 3.49786e+06
3 128 1 0.003930 0.004161 0.000519 2 0.035656 0.001875 0.001695 3 0.713356 0.030770 0.007863  94201 1.24923e+06 1.81818e+07
4 128 1 0.003945 0.004411 0.000631 2 0.090864 0.004108 0.002349 3 2.008220 0.083212 0.017803  139255 2.8917e+06 6.69853e+07
5 128 1 0.004823 0.004778 0.000687 2 0.201174 0.017178 0.003159 3 4.593110 0.243548 0.036844  192501 5.80391e+06 1.96553e+08
6 128 1 0.008261 0.004294 0.000773 2 0.340945 0.014566 0.004558 3 9.881010 0.603763 0.083750  253939 1.05266e+07 4.90887e+08
7 128 1 0.008384 0.004375 0.000855 2 0.543679 0.024663 0.005998 3 18.908700 1.329280 0.167020 323569 1.76986e+07 1.08756e+09
8 128 1 0.009581 0.003991 0.000937 2 0.786654 0.036857 0.008514 3 35.270400 2.648080 0.343380 401391 2.80573e+07 2.1969e+09
9 128 1 0.021327 0.002796 0.000999 2 0.979390 0.055825 0.011671 3 64.946900 4.976100 0.722974 487405 4.24383e+07 4.12409e+09
10 128 1 0.000000 0.000000 0.001093 2 0.000000 0.000000 0.015606 3 0.000000 0.000000 1.411020  581611 6.17754e+07 7.29424e+09
11 128 1 0.017953 0.002132 0.001152 2 1.776990 0.116612 0.019889 3 187.865000 14.841500 2.577050  684009 8.71009e+07 1.22804e+10
12 128 1 0.024447 0.001896 0.001242 2 2.247180 0.162484 0.026512 3 299.442000 24.148400 4.873170  794599 1.19545e+08 1.98346e+10
13 128 1 0.046200 0.002288 0.001414 2 2.986370 0.214210 0.030022 3 454.202000 37.676400 8.680960  913381 1.60337e+08 3.09216e+10
14 128 1 0.000000 0.000000 0.001404 2 0.000000 0.000000 0.036763 3 0.000000 0.000000 15.513300  1.04036e+06 2.10804e+08 4.67559e+10
