1 128 1 0.002054 0.004575 0.000355 2 0.003074 0.004385 0.000438 3 0.007137 0.004190 0.000545 4 0.010474 0.004533 0.000664
2 128 1 0.003003 0.003605 0.000423 2 0.008503 0.003830 0.000706 3 0.017583 0.002067 0.001228 4 0.074470 0.002445 0.002005
3 128 1 0.004222 0.003975 0.000498 2 0.024168 0.002141 0.001128 3 0.090018 0.005954 0.002305 4 0.271591 0.011797 0.007228
4 128 1 0.003986 0.006684 0.000589 2 0.042492 0.002007 0.001738 3 0.225358 0.014773 0.004605 4 0.833320 0.038816 0.026656
5 128 1 0.004928 0.002769 0.000679 2 0.113472 0.003289 0.002071 3 0.518834 0.045392 0.009005 4 2.307460 0.118177 0.077538
6 128 1 0.008884 0.005935 0.000759 2 0.167695 0.005459 0.002815 3 1.033630 0.067227 0.017875 4 5.292030 0.310350 0.209227
7 128 1 0.008315 0.003187 0.000857 2 0.209920 0.008398 0.004072 3 1.837090 0.131775 0.033441 4 11.077600 0.726037 0.490064
8 128 1 0.013084 0.004066 0.000916 2 0.256246 0.014300 0.004756 3 2.691970 0.218984 0.058558 4 18.618500 1.594590 1.070560
9 128 1 0.010291 0.003113 0.000999 2 0.374755 0.018466 0.006201 3 4.210330 0.367892 0.098303 4 35.243200 3.242080 2.215370
10 128 1 0.000000 0.000000 0.001092 2 0.000000 0.000000 0.008178 3 0.000000 0.000000 0.158997 4 0.000000 0.000000 4.379440
11 128 1 0.014287 0.002146 0.001240 2 0.667550 0.034983 0.010509 3 9.875180 0.925641 0.247124 4 118.244000 11.291700 7.995360
12 128 1 0.018678 0.001564 0.001236 2 0.881470 0.048787 0.013403 3 14.094800 1.393740 0.384075 4 212.842000 19.782300 14.598200
13 128 1 0.000000 0.000000 0.001313 2 0.000000 0.000000 0.016830 3 0.000000 0.000000 0.570718 4 0.000000 0.000000 25.194400
14 128 1 0.000000 0.000000 0.001398 2 0.000000 0.000000 0.021060 3 0.000000 0.000000 0.835390
