1 128 1 0.002311 0.004615 0.000369 2 0.007212 0.006003 0.000512 3 0.025161 0.001808 0.000883 524288 2.09715e+06 8.38861e+06       
2 128 1 0.003610 0.006052 0.000420 2 0.013713 0.002601 0.000962 3 0.207617 0.005967 0.002526 1.17965e+06 1.06168e+07 9.55515e+07        
3 128 1 0.003930 0.004161 0.000519 2 0.035656 0.001875 0.001695 3 0.713356 0.030770 0.007863 2.09715e+06 3.35544e+07 5.36871e+08        
4 128 1 0.003945 0.004411 0.000631 2 0.090864 0.004108 0.002349 3 2.008220 0.083212 0.017803 3.2768e+06 8.192e+07 2.048e+09       
5 128 1 0.004823 0.004778 0.000687 2 0.201174 0.017178 0.003159 3 4.593110 0.243548 0.036844 4.71859e+06 1.69869e+08 6.1153e+09       
6 128 1 0.008261 0.004294 0.000773 2 0.340945 0.014566 0.004558 3 9.881010 0.603763 0.083750 6.42253e+06 3.14704e+08 1.54205e+10       
7 128 1 0.008384 0.004375 0.000855 2 0.543679 0.024663 0.005998 3 18.908700 1.329280 0.167020 8.38861e+06 5.36871e+08 3.43597e+10       
8 128 1 0.009581 0.003991 0.000937 2 0.786654 0.036857 0.008514 3 35.270400 2.648080 0.343380 1.06168e+07 8.59963e+08 6.9657e+10       
9 128 1 0.021327 0.002796 0.000999 2 0.979390 0.055825 0.011671 3 64.946900 4.976100 0.722974 1.31072e+07 1.31072e+09 1.31072e+11      
10 128 1 0.000000 0.000000 0.001093 2 0.000000 0.000000 0.015606 3 0.000000 0.000000 1.411020 1.58597e+07 1.91903e+09 2.32202e+11      
11 128 1 0.017953 0.002132 0.001152 2 1.776990 0.116612 0.019889 3 187.865000 14.841500 2.577050 1.88744e+07 2.71791e+09 3.91379e+11   
12 128 1 0.024447 0.001896 0.001242 2 2.247180 0.162484 0.026512 3 299.442000 24.148400 4.873170 2.21512e+07 3.74355e+09 6.3266e+11   
13 128 1 0.046200 0.002288 0.001414 2 2.986370 0.214210 0.030022 3 454.202000 37.676400 8.680960 2.56901e+07 5.03526e+09 9.86911e+11   
14 128 1 0.000000 0.000000 0.001404 2 0.000000 0.000000 0.036763 3 0.000000 0.000000 15.513300 2.94912e+07 6.63552e+09 1.49299e+12      
